Word                Count   Lines
----------------------------------
saw                 2       15, 19
repulsive           2       13
own                 4       13, 17, 19
old                 3       13, 15
see                 2       13
son                 2       13
warmly              2       11, 13
up                  2       3, 5
any                 4       5, 7, 9, 19
to                  5       5, 7, 17
mr                  4       3, 7, 9, 11
additions           2       13, 19
it                  6       7, 9, 11, 13
gate                2       3, 15
set                 2       5, 9
him                 2       3, 15
be                  5       5, 7, 13, 17
nothing             2       5, 19
exposed             3       3, 17, 19
looked              2       3, 13
day                 4       1, 3, 17
are                 2       17
she                 6       3, 7, 11, 15, 19
man                 4       3, 5, 7, 19
down                2       3, 15
discretion          2       3, 7
lt                  7       1, 3, 5, 7, 11, 15
the                 6       1, 3, 5, 7, 13, 19
expenses            2       3, 5
so                  6       5, 7, 11, 15, 17
living              2       9, 17
an                  3       11, 15, 19
material            2       3, 11
perpetual           2       1, 19
https               4       1, 3, 5, 15
remaining           3       1, 11, 13
and                 3       1, 5, 11
find                2       3, 9
her                 2       1, 17
it's                2       1, 3
lively              2       7, 17
for                 2       1, 13
reasonably          2       3, 15
cottage             2       1, 7
returned            3       3, 7, 17
at                  5       1, 3, 7, 9
no                  6       5, 7, 9, 11, 15, 17
fat                 3       7, 9, 17
may                 2       5, 7
west                2       1, 15
vu                  3       1, 5, 15
his                 2       1, 19
exquisite           2       13, 15
out                 3       3, 5
www                 6       1, 3, 5, 7, 11, 15
education           2       1, 19
has                 4       3, 11
middleton           2       1, 9
am                  4       9, 11
how                 2       1, 3
we                  4       1, 3, 7, 9
me                  4       3, 9, 11, 17
is                  3       1, 5, 9
elegance            2       1, 15
now                 2       5, 7
you                 2       5, 7
on                  4       1, 7, 19
was                 4       5, 9, 13, 17
formerly            2       5, 7
do                  5       7, 11, 13, 17
park                2       9
two                 3       7, 11, 13
as                  2       7, 9
he                  6       1, 9, 11, 15, 19
had                 3       1, 5, 15
happy               2       19
gay                 4       1, 13, 17, 19
body                2       7, 19
daughters           2       13, 17
off                 2       7, 13
by                  7       7, 9, 11, 13, 15, 17
if                  3       5, 13, 19
led                 2       9, 19
otherwise           3       11, 17
found               2       1, 15
of                  5       7, 9, 11, 15, 19
or                  2       15
contented           2       9, 17
learning            2       3, 7
unfeeling           2       15, 17
too                 2       15, 17
way                 2       7, 11
instrument          2       5, 7
either              3       5, 17
in                  7       1, 5, 7, 11, 17
